type|title|director|cast|country|date_added|release_year|rating|duration|listed_in
Movie|My Daddy is in Heaven|Waymon Boone|Jenn Gotzon Chandler, Corbin Bernsen, Lorenzo Lamas, T.C. Stallings, Jill Morrison, Lane Garrison, Jake Jacobson, Lee Benton, Riley St. John, Cricket St. John|United States|12/6/2018|2017|TV-14|95 min|Dramas, Faith & Spirituality
Movie|Ralph Breaks the Internet: Wreck-It Ralph 2|Phil Johnston, Rich Moore|John C. Reilly, Sarah Silverman, Taraji P. Henson, Gal Gadot, Jack McBrayer, Jane Lynch, Alan Tudyk, Ed O'Neill, Susan Lucci, Jason Lee, Idina Menzel, Anika Noni Rose, Judy Reyes, Grant Show, Ana Ortiz, Ming-Na Wen, Rebecca Wisocky, Paige O'Hara, Linda Larkin, Mariana Klaveno, Daria Ramirez, Tom Irwin, Edy Ganem, Irene Bedard, Jodi Benson, Anthony Daniels|United States|11/6/2019|2018|PG|113 min|Children & Family Movies, Comedies
TV Show|Upin & Ipin||Nurfathiah Diaz|Malaysia|10/6/2019|2007|TV-Y|1 Season|Kids' TV
TV Show|28 Moons||Jin-sung Yang, Kyu-jong Kim, Tae-hwan Kang, Geummi||10/6/2017|2016|TV-14|1 Season|International TV Shows, Korean TV Shows, Romantic TV Shows
Movie|Daughters of the Dust|Julie Dash|Cora Lee Day, Alva Rogers, Barbarao, Trula Hoosier, Adisa Anderson, Kaycee Moore, Bahni Turpin, Cheryl Lynn Bruce, Tommy Redmond Hicks, Cornell Royal|United Kingdom, United States|10/6/2017|1991|NR|112 min|Classic Movies, Dramas, Independent Movies
Movie|Havenhurst|Andrew C. Erin|Julie Benz, Belle Shouse, Josh Stamberg, Danielle Harris, Douglas Tait, Matt Lasky, Dendrie Taylor, Toby Huss, Jennifer Blanc, Fionnula Flanagan|United States|10/6/2017|2016|TV-MA|85 min|Horror Movies, Thrillers
TV Show|Magic Phone||Jin-woo Kim, Min-ji Park, In-jun Gwak, Gi-du Kim|South Korea|10/6/2017|2016|TV-14|1 Season|International TV Shows, Korean TV Shows, Romantic TV Shows
TV Show|Man to Man|Chang-Min Lee|Hae-Jin Park, Sung-woong Park, Min-jung Kim, Jung-an Chae, Jung-hoon Yeon, Hyun-sung Jang, Man-sik Jung, Shin-il Kang, Ho-jin Chun, In-ho Tae|South Korea|10/6/2017|2017|TV-14|1 Season|Crime TV Shows, International TV Shows, Korean TV Shows
TV Show|My Little Baby||Ji-ho Oh, Soo-kyung Lee, Min-jae Kim, Ji-hyun Nam|South Korea|10/6/2017|2016|TV-14|1 Season|Crime TV Shows, International TV Shows, Korean TV Shows
TV Show|Singles Villa||Joe Cheng, Lulu Xu, Jiro Wang, Viann Zhang, Han Chengyu|China|10/6/2017|2015|TV-14|1 Season|International TV Shows, Romantic TV Shows, TV Dramas
Movie|Sword Master|Derek Yee|Kenny Lin, Peter Ho, Jiang Mengjie, Jiang Yiyan, Paw Hee Ching|China, Hong Kong|10/6/2017|2016|TV-MA|108 min|Action & Adventure, Dramas, International Movies
TV Show|Under the Black Moonlight||Tae-hyun Nam, Soo-yeon Kim, Seo-ra Kim, Tae-hwan Kang, Young-jo Yang|South Korea|10/6/2017|2016|TV-14|1 Season|International TV Shows, Korean TV Shows, TV Dramas
Movie|#Selfie|Cristina Jacob|Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu|Romania|1/6/2019|2014|TV-MA|125 min|Comedies, Dramas, International Movies
Movie|#Selfie 69|Cristina Jacob|Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut|Romania|1/6/2019|2016|TV-MA|119 min|Comedies, Dramas, International Movies
Movie|10,000 B.C.|Roland Emmerich|Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif|United States, South Africa|1/6/2019|2008|PG-13|109 min|Action & Adventure
Movie|50/50|Jonathan Levine|Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy|United States|1/6/2019|2011|R|100 min|Comedies, Dramas, Independent Movies
TV Show|A Thousand Goodnights||Cindy Lien, Nicholas Teo, Yao Ai-ning, Li Chung-lin, Chen Bor-jeng, Miao Ke-li|Taiwan|1/6/2019|2019|TV-14|1 Season|International TV Shows, TV Dramas
Movie|Bullitt County|David McCracken|Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Dorothy Lyman, Richard Riehle|United States|1/6/2019|2018|TV-MA|98 min|Independent Movies, Thrillers
Movie|Carrie|Brian De Palma|Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North|United States|1/6/2019|1976|R|98 min|Classic Movies, Cult Movies, Horror Movies
TV Show|Falsa identidad||Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas|Mexico, United States|1/6/2019|2018|TV-MA|1 Season|Crime TV Shows, Spanish-Language TV Shows, TV Dramas
Movie|III Smoking Barrels|Sanjib Dey|Subrat Dutta, Indraneil Sengupta, Mandakini Goswami, Amrita Chattopadhyay, Nalneesh Neel, Niloy Sankar Gupta, Shiny Gogoi, Siddharth Boro|India|1/6/2019|2017|TV-MA|128 min|Dramas, Independent Movies, International Movies
Movie|Life in the Doghouse|Ron Davis||United States|1/6/2019|2018|TV-PG|83 min|Documentaries, LGBTQ Movies
Movie|Love Is a Story|Cristina Jacob|Raluca Aprodu, Dragos Bucur, Ducu Darie|Romania|1/6/2019|2015|TV-MA|105 min|International Movies, Romantic Movies
Movie|Oh, Ramona!|Cristina Jacob|Bogdan Iancu, Aggy K. Adams, Holly Horne, Basil Eidenbenz, Melanie Ebanks, Leonardo Boudreau, Andromeda Godfrey|Romania|1/6/2019|2019|TV-MA|109 min|Comedies, International Movies
Movie|Prosecuting Evil: The Extraordinary World of Ben Ferencz|Barry Avrich|Ben Ferencz|Canada|1/6/2019|2019|TV-14|83 min|Documentaries
Movie|Righteous Kill|Jon Avnet|Robert De Niro, Al Pacino, 50 Cent, Carla Gugino, John Leguizamo, Donnie Wahlberg, Brian Dennehy, Trilby Glover|United States|1/6/2019|2008|R|101 min|Dramas, Thrillers
Movie|Satan & Adam|V. Scott Balcerek|Sterling Magee, Adam Gussow|United States|1/6/2019|2018|TV-14|78 min|Documentaries, Music & Musicals
Movie|Small Soldiers|Joe Dante|Kirsten Dunst, Gregory Smith, Jay Mohr, Phil Hartman, Kevin Dunn, Denis Leary, Frank Langella, Tommy Lee Jones, Ernest Borgnine|United States|1/6/2019|1998|PG-13|110 min|Action & Adventure, Comedies, Sci-Fi & Fantasy
Movie|The Box|Richard Kelly|Cameron Diaz, James Marsden, Frank Langella, James Rebhorn, Holmes Osborne, Sam Oz Stone, Gillian Jacobs, Celia Weston, Deborah Rush|United States|1/6/2019|2009|PG-13|116 min|Sci-Fi & Fantasy, Thrillers
Movie|The Phantom of the Opera|Joel Schumacher|Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson, Minnie Driver, Ciarán Hinds, Simon Callow, Victor McGuire, Jennifer Ellison|United Kingdom, United States|1/6/2019|2004|PG-13|141 min|Dramas, Music & Musicals, Romantic Movies
Movie|The Space Between Us|Peter Chelsom|Gary Oldman, Asa Butterfield, Carla Gugino, Britt Robertson, BD Wong, Janet Montgomery, Trey Tucker|United States|1/6/2019|2016|PG-13|120 min|Action & Adventure, Romantic Movies, Sci-Fi & Fantasy
Movie|Then Came You|Peter Hutchings|Asa Butterfield, Maisie Williams, Nina Dobrev, Ken Jeong, Tyler Hoechlin, David Koechner, Peyton List, Tituss Burgess|United States|1/6/2019|2019|TV-14|97 min|Comedies, Dramas, Independent Movies
Movie|We Are Legends|Daniel Yee Heng Chan|Lam Yiu-sing, Ma Chi Wai, Wiyona Yeung, Eric Kot, Yuen Qiu, Lisa Cheng, Jason Li|Hong Kong|1/6/2019|2019|TV-14|109 min|Action & Adventure, International Movies, Sports Movies
Movie|What a Girl Wants|Dennie Gordon|Amanda Bynes, Colin Firth, Kelly Preston, Eileen Atkins, Anna Chancellor, Jonathan Pryce, Oliver James, Christina Cole|United States|1/6/2019|2003|PG|105 min|Children & Family Movies, Comedies
Movie|B.A. Pass 2|Shadab Khan|Kritika Sachdeva, Sasho, Sanghmitra Hitaishi, Indraneil Sengupta, Saurabh Dubey, Shubhangi Latkar, Sukhbir Kaur Lamba, Arav Chowdharry|India|1/6/2018|2017|TV-14|126 min|Dramas, International Movies
Movie|Bad Genius|Nattawut Poonpiriya|Chutimon Chuengcharoensukying, Chanon Santinatornkul, Teeradon Supapunpinyo, Eisaya Hosuwan, Thaneth Warakulnukroh, Sarinrat Thomas, Ego Mikitas, Pasin Kuansataporn, Sahajak Boonthanakit, Kanjana Vinaipanid|Thailand|1/6/2018|2017|TV-MA|130 min|International Movies, Thrillers
Movie|Bobbi Jene|Elvira Lind|Bobbi Jene Smith|Denmark, Sweden, Israel, United States|1/6/2018|2017|TV-MA|99 min|Documentaries
TV Show|Gabru: Hip Hop Revolution||Amol Parashar, Harleen Sethi, Chaitanya Sharma, Priya Malik, Pratik Dixit|India|1/6/2018|2018|TV-14|1 Season|International TV Shows, TV Dramas
Movie|He Named Me Malala|Davis Guggenheim|Malala Yousafzai|United States, United Arab Emirates|1/6/2018|2015|PG-13|89 min|Documentaries
Movie|Miracle|Gavin O'Connor|Kurt Russell, Patricia Clarkson, Noah Emmerich, Sean McCann, Kenneth Welsh, Eddie Cahill, Patrick O'Brien Demsey, Michael Mantenuto, Nathan West, Kenneth Mitchell, Sam Skoryna, Billy Schneider, Michael Kopsa, Beverley Breuer, Lisa Marie Caruk, Ryan Walter, Nate Miller, Joseph Cure, Scott Johnson, Eric Peter-Kaiser, Bobby Hanson|Canada, United States|1/6/2018|2004|PG|136 min|Children & Family Movies, Dramas, Sports Movies
Movie|National Treasure|Jon Turteltaub|Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer|United States|1/6/2018|2004|PG|131 min|Action & Adventure, Children & Family Movies
Movie|Natsamrat - Asa Nat Hone Nahi|Mahesh Manjrekar|Nana Patekar, Medha Manjrekar, Mrinmayee Deshpande, Sunil Barve, Vikram Gokhale, Neha Pendse|India|1/6/2018|2016|TV-14|165 min|Dramas, International Movies
TV Show|November 13: Attack on Paris|||France|1/6/2018|2018|TV-MA|1 Season|Docuseries, International TV Shows
Movie|Outside In|Lynn Shelton|Jay Duplass, Edie Falco, Kaitlyn Dever, Ben Schwartz, Louis Hobson, Alycia Delmore, Pamela Reed, Matt Malloy, Aaron Blakely|United States|1/6/2018|2018|TV-MA|110 min|Dramas, Independent Movies
Movie|Pedal the World|Felix Starck|Felix Starck|Germany|1/6/2018|2015|TV-MA|85 min|Documentaries, International Movies, Sports Movies
Movie|Singularity|Robert Kouba|Julian Schaffner, John Cusack, Jeannine Wacker, Carmen Argenziano, Eileen Grubba, Pavlo Bubryak|Switzerland, United States|1/6/2018|2017|PG-13|92 min|Action & Adventure, Dramas, Sci-Fi & Fantasy
Movie|Aashik Awara|Umesh Mehra|Saif Ali Khan, Mamta Kulkarni, Mohnish Bahl, Sharmila Tagore, Saeed Jaffrey, Kader Khan|India|1/6/2017|1993|TV-14|154 min|Dramas, International Movies, Music & Musicals
Movie|Amelia: A Tale of Two Sisters|Edward Cotterill|Rachael Stirling|United Kingdom|1/6/2017|2017|TV-PG|44 min|Documentaries
Movie|Betting on Zero|Ted Braun|William Ackman|United States|1/6/2017|2017|TV-PG|104 min|Documentaries
Movie|Burlesque: Heart of the Glitter Tribe|Jon Manning||United States|1/6/2017|2017|TV-MA|76 min|Documentaries
Movie|Catfight|Onur Tukel|Sandra Oh, Anne Heche, Alicia Silverstone, Amy Hill, Myra Lucretia Taylor, Ariel Kavoussi, Damian Young, Stephen Gevedon, Giullian Yao Gioiello, Tituss Burgess|United States|1/6/2017|2016|TV-MA|96 min|Comedies, Independent Movies
Movie|Chingo Bling: They Can't Deport Us All|Luis Lopez|Chingo Bling||1/6/2017|2017|TV-MA|63 min|Stand-Up Comedy
Movie|Devil's Bride|Saara Cantell|Tuulia Eloranta, Magnus Krepper, Elin Petersdottir, Claes Malmberg, Kaija Pakarinen, Antti Reini, Lauri Tanskanen, Johanna af Schultén, Maria Sid, Pirkko Hämäläinen, Sonja Halla-aho|Finland, Sweden, Norway, Latvia, Germany|1/6/2017|2016|TV-MA|108 min|Dramas, International Movies
TV Show|Fear Files... Har Mod Pe Darr|||India|1/6/2017|2015|TV-MA|1 Season|International TV Shows, TV Horror, TV Thrillers
Movie|How the Grinch Stole Christmas|Ron Howard|Jim Carrey, Taylor Momsen, Jeffrey Tambor, Christine Baranski, Bill Irwin, Molly Shannon, Clint Howard, Josh Ryan Evans, Mindy Sterling, Anthony Hopkins|United States|1/6/2017|2000|PG|105 min|Children & Family Movies, Comedies
Movie|How to Stage a Coup|Cal Seville|Cal Seville|United Kingdom|1/6/2017|2017|TV-14|47 min|Documentaries
Movie|Jackie: A Tale of Two Sisters|Edward Cotterill|Rachael Stirling|United Kingdom|1/6/2017|2017|TV-PG|44 min|Documentaries
TV Show|Jhansi Ki Rani||Ulka Gupta, Sameer Dharmadhikari, Amit Pachori, Shailesh Dattar, Aruna Irani|India|1/6/2017|2009|TV-14|1 Season|International TV Shows, TV Dramas
Movie|Lens|Jayaprakash Radhakrishnan|Jayaprakash Radhakrishnan, Anand Sami, Aswathy Lal, Misha Ghoshal|India|1/6/2017|2015|TV-MA|109 min|Dramas, Independent Movies, International Movies
Movie|Little Boxes|Rob Meyer|Melanie Lynskey, Nelsan Ellis, Armani Jackson, Oona Laurence, Janeane Garofalo, Christine Taylor, Nadia Dajani, Veanne Cox, Will Janowitz, Julie Hays|United States|1/6/2017|2016|TV-14|89 min|Comedies, Dramas, Independent Movies
Movie|Love.com|Anita Barbosa|Isis Valverde, Gil Coelho, Joaquim Lopes, Carol Portes, Alexandra Richter, Marcos Mion, João Côrtes, César Cardadeiro|Brazil|1/6/2017|2017|TV-MA|92 min|Comedies, International Movies, Romantic Movies
Movie|Maya Memsaab|Ketan Mehta|Deepa Sahi, Farooq Shaikh, Raj Babbar, Shah Rukh Khan, Shreeram Lagoo, Sudha Shivpuri, Paresh Rawal, Raghuvir Yadav, Satyadev Dubey|France, United Kingdom, India|1/6/2017|1993|NR|122 min|Dramas, International Movies, Music & Musicals
Movie|Michael Lost and Found|Daniel Wilner||Canada, United States|1/6/2017|2017|TV-PG|19 min|Documentaries, International Movies, LGBTQ Movies
TV Show|Mind Game||Tay Ping Hui, Joanne Peh, Zhang Yaodong, Paige Chua, Akit Tay||1/6/2017|2015|TV-14|1 Season|Crime TV Shows, International TV Shows, TV Dramas
TV Show|Miniforce||Sang-hyun Um, Jeong-hwa Yang, Tae-yeol Jeon, Yong-woo Shin, So-yeong Lee, Wan-kyung Sung, Soyeon, Jin-wook Hong, Yeong-wung Jeong||1/6/2017|2016|TV-Y7|1 Season|Kids' TV, Korean TV Shows
Movie|Oh Darling Yeh Hai India|Ketan Mehta|Shah Rukh Khan, Deepa Sahi, Javed Jaffrey, Anupam Kher, Amrish Puri, Tom Alter, Tinnu Anand, Sadashiv Amrapurkar, Tiku Talsania, Kader Khan|India|1/6/2017|1995|TV-14|154 min|Action & Adventure, Comedies, International Movies
TV Show|Pablo Escobar, el patrón del mal||Andrés Parra, Angie Cepeda, Cecilia Navia, Vicky Hernández, Christian Tappán, Rodolfo Silva, Tommy Vasquez, Toto Vega, Nicolás Montero, Marcela Gallego|Colombia|1/6/2017|2012|TV-MA|1 Season|Crime TV Shows, International TV Shows, Spanish-Language TV Shows
TV Show|Power Battle Watch Car||Sang-hyun Um, Tae-yeol Jeon, Yeong-wung Jeong, Hye-won Jeong, Yong-woo Shin, Jin-hong Bae, Do-hyeong Nam, Min-kyu Lee||1/6/2017|2016|TV-Y7|1 Season|Kids' TV, Korean TV Shows
Movie|Prince|Lekh Tandon|Shammi Kapoor, Vyjayantimala, Rajendra Nath, Ajit, Helen, Leela Chitnis, Parveen Choudhary, Sudhir, Sunder, Rashid Khan|India|1/6/2017|1969|TV-14|152 min|Dramas, International Movies, Romantic Movies
Movie|Qila|Umesh Mehra|Dilip Kumar, Mukul Dev, Rekha, Mamta Kulkarni, Smita Jaykar, Gulshan Grover|India|1/6/2017|1998|TV-14|161 min|Dramas, International Movies
TV Show|Rab Se Sohna Isshq||Ekta Kaul, Ashish Sharma, Kanan Malhotra, Sukirti Kandpal||1/6/2017|2012|TV-14|1 Season|International TV Shows, Romantic TV Shows, TV Dramas
Movie|Smoke & Mirrors|Alberto Rodríguez|Eduard Fernández, José Coronado, Marta Etura, Carlos Santos, Enric Benavent, Philippe Rebbot, Israel Elejalde, Tomás del Estal, Emilio Gutiérrez Caba|Spain|1/6/2017|2016|TV-14|123 min|Dramas, International Movies, Thrillers
TV Show|The Day Will Come||Sofie Gråbøl, Lars Mikkelsen, Harald Kaiser Hermann, Albert Rudbeck Lindhardt, Laurids Skovgaard Andersen, Søren Sætter Lassen, Sonja Richter, David Dencik, Solbjørg Højfeldt, Lars Ranthe|Denmark|1/6/2017|2016|TV-MA|1 Season|International TV Shows, TV Dramas
TV Show|The Dream Job||Hugo Ng, Shaun Chen, Jeanette Aw, Rebecca Lim, Zhang Zhenhuan, Ian Fang|Singapore|1/6/2017|2016|TV-14|1 Season|International TV Shows, TV Dramas
TV Show|The Golden Years with Javed Akhtar|||India|1/6/2017|2016|TV-G|1 Season|Docuseries, International TV Shows
Movie|The Mitfords: A Tale of Two Sisters|Edward Cotterill|Rachael Stirling|United Kingdom|1/6/2017|2017|TV-PG|44 min|Documentaries
Movie|Y Tu Mamá También|Alfonso Cuarón|Maribel Verdú, Gael García Bernal, Diego Luna, Daniel Giménez Cacho, Ana López Mercado, Nathan Grinberg, Verónica Langer, María Aura, Giselle Audirac, Arturo Ríos, Andrés Almeida, Diana Bracho, Emilio Echevarría|Mexico|1/6/2017|2001|R|106 min|Dramas, Independent Movies, International Movies
TV Show|72 Cutest Animals|||Australia|1/6/2016|2016|TV-G|1 Season|Docuseries, International TV Shows, Science & Nature TV
TV Show|72 Dangerous Places to Live||Mitch Ryan|Australia|1/6/2016|2016|TV-PG|1 Season|Docuseries, International TV Shows, Science & Nature TV
Movie|Black Man White Skin|Jose Manuel Colón||Spain|1/6/2016|2015|TV-14|79 min|Documentaries, International Movies
TV Show|Bob Ross: Beauty Is Everywhere||Bob Ross||1/6/2016|1991|TV-G|1 Season|TV Shows
TV Show|Gentlemen and Gangsters||David Dencik, Ruth Vega Fernandez, David Fukamachi Regnfors, Sverrir Gudnason, Andreas Kundler, Sven Nordin, Boman Oscarsson, Lars Green, Sebastian Sporsén, Amanda Ooms, Magnus Krepper, Peter Carlberg, Peter Bergared, Christopher Wagelin, Lars Helander, Emilie Jonsson|Sweden|1/6/2016|2016|TV-MA|1 Season|Crime TV Shows, International TV Shows, Romantic TV Shows
Movie|Spy Time|Javier Ruiz Caldera|Imanol Arias, Quim Gutiérrez, Alexandra Jiménez, Berto Romero, Carlos Areces, Eduardo Gómez, Dani El Rojo, Emilio Gutiérrez Caba, Rossy de Palma, Sílvia Abril|Spain|1/6/2016|2015|TV-MA|93 min|Action & Adventure, Comedies, International Movies
Movie|The Fear of 13|David Sington||United Kingdom|1/6/2016|2015|TV-MA|95 min|Documentaries, International Movies
Movie|The Heroes of Evil|Zoe Berriatúa|Emilio Palacios, Jorge Clemente, Beatriz Medina, Macarena Gómez, Olivia Baglivi, Paula Soldevila, Nacho Coronado, Beatriz Olivares|Spain|1/6/2016|2015|NR|99 min|Dramas, International Movies
Movie|The Perfect Dictatorship|Luis Estrada|Damián Alcázar, Alfonso Herrera, Joaquín Cosio, Osvaldo Benavides, Silvia Navarro, Flavio Medina, Saúl Lisazo, Tony Dalton|Mexico|1/6/2015|2014|NR|143 min|Comedies, Dramas, International Movies
Movie|Aziz Ansari: RIGHT NOW|Spike Jonze|Aziz Ansari|United States|9/7/2019|2019|TV-MA|65 min|Stand-Up Comedy
Movie|Mary Poppins Returns|Rob Marshall|Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Pixie Davies, Nathanael Saleh, Joel Dawson, Julie Walters, Meryl Streep, Colin Firth, Dick Van Dyke|United States, United Kingdom|9/7/2019|2018|PG|131 min|Children & Family Movies, Music & Musicals
TV Show|Krishna Balram||Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Arun Shekher, Sanchit Wartak, Sharda Agnihotri, Ashok Sonawane, Joy Mukherjee||8/7/2019|2019|TV-Y7-FV|1 Season|Kids' TV
TV Show|Mr. Sunshine|Lee Eung-bok|Lee Byung-hun, Kim Tae-ri, Yoo Yeon-seok, Kim Min-jung, Byun Yo-han|South Korea|8/7/2018|2018|TV-MA|1 Season|International TV Shows, Korean TV Shows, Romantic TV Shows
Movie|The Invitation|Karyn Kusama|Logan Marshall-Green, Emayatzy Corinealdi, Aiden Lovekamp, Michelle Krusiec, Mike Doyle, Jordi Vilasuso, Jay Larson, Marieh Delfino, Tammy Blanchard, Michiel Huisman, Lindsay Burdge, John Carroll Lynch|United States|8/7/2016|2015|NR|100 min|Horror Movies, Independent Movies, Thrillers
Movie|The Iron Lady|Phyllida Lloyd|Meryl Streep, Jim Broadbent, Alexandra Roach, Harry Lloyd, Olivia Colman, Iain Glen, Victoria Bewick, Nicholas Farrell, John Sessions, Anthony Head, David Westhead, Julian Wadham, Richard E. Grant, Angus Wright, Roger Allam, Michael Pennington, Susan Brown, Phoebe Waller-Bridge|United Kingdom, France|7/7/2019|2011|PG-13|105 min|Dramas, International Movies
Movie|1 Mile to You|Leif Tilden|Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote|United States|7/7/2017|2017|TV-14|105 min|Dramas, Romantic Movies, Sports Movies
TV Show|Diamond Lover||Rain, Tiffany Tang, Luo Jin, Dilraba Dilmurat, Yao Yichen|China|7/7/2017|2015|TV-PG|1 Season|International TV Shows, Romantic TV Shows, TV Dramas
TV Show|King’s War||Chen Daoming, Peter Ho, Duan Yihong, Qin Lan, Li Yixiao, Yang Lixin, You Yong, Yu Hewei||7/7/2017|2012|TV-14|1 Season|International TV Shows, TV Dramas
TV Show|Qin Empire: Alliance||Fu Dalong, Ning Jing, Yu Entai, Zhou Bo, Fu Miao, Feihu Sun, Lu Ying, Qiu Yongli|China|7/7/2017|2012|TV-14|1 Season|International TV Shows, TV Dramas
Movie|Take Me|Pat Healy|Taylor Schilling, Pat Healy, Alycia Delmore, Jim O'Heir, Brooke Dillman, Mark Kelly, Toby Huss, Alejandro Patiño|United States|7/7/2017|2017|TV-MA|84 min|Comedies, Independent Movies
TV Show|The Legend of Bruce Lee||Danny Chan, Michelle Lang, Ted Duran, Hazen MacIntyre, Luoyong Wang, Natalia Dzyublo, Traci Ann Wolfe, Ke Gai, Zhou Zhou, Yu Chenghui|China|7/7/2017|2008|NR|1 Season|International TV Shows, TV Action & Adventure, TV Dramas
TV Show|NSU German History X||Anna Maria Mühe, Albrecht Schuch, Sebastian Urzendowsky, Almila Bagriacik, Tom Schilling, André Hennicke, Florian Lukas, Liv Lisa Fries, Sylvester Groth, Florian Stetter, Nina Gummich, Jonas Leonhardi, Ben Münchow, Maximilian Jaenisch|Germany|7/7/2016|2016|TV-MA|1 Season|Crime TV Shows, International TV Shows, TV Dramas
Movie|Monster High: Scaris, City of Frights|Dustin McKenzie, Andrew Duncan, Audu Paden|Laura Bailey, Cam Clarke, Erin Fitzgerald, Dee Dee Green, Celeste Henderson, Kate Higgins, Jonathan Lipow, Julie Maddalena, Dustin McKenzie, Audu Paden|United States|7/7/2015|2013|TV-G|60 min|Children & Family Movies
Movie|Sicilian Ghost Story|Fabio Grassadonia, Antonio Piazza|Julia Jedlikowska, Gaetano Fernandez, Corinne Musallari, Lorenzo Curcio, Andrea Falzone, Federico Finocchiaro, Vincenzo Amato, Sabine Timoteo|Italy, France, Switzerland|6/7/2019|2017|TV-MA|119 min|Dramas, International Movies, Thrillers
Movie|100 Days Of Solitude|||Spain|6/7/2018|2018|TV-14|93 min|Documentaries, International Movies
Movie|Luciano Mellera: Infantiloide|Raúl Campos, Jan Suter|Luciano Mellera|Argentina|6/7/2018|2018|TV-14|66 min|Stand-Up Comedy
Movie|The Legacy of a Whitetail Deer Hunter|Jody Hill|Josh Brolin, Danny McBride, Montana Jordan, Scoot McNairy, Carrie Coon|United States|6/7/2018|2018|TV-14|83 min|Action & Adventure, Comedies, Dramas
Movie|The Skin of the Wolf|Samu Fuentes|Mario Casas, Irene Escolar, Ruth Díaz|Spain|6/7/2018|2018|TV-14|110 min|Dramas, Independent Movies, International Movies
Movie|White Fang|Alexandre Espigares|Nick Offerman, Rashida Jones, Paul Giamatti, Eddie Spears, David Boat, Sean Kenin, Raquel Antonia, Daniel Hagen, Stephen Kramer Glickman, William Calvert, Jason Grasl, Armando Riesco|France, Luxembourg, United States|6/7/2018|2018|TV-PG|88 min|Children & Family Movies, Dramas
Movie|Motu Patlu: King of Kings|Suhas Kadav|Saurav Chakrabarty, Vinay Pathak|India|6/7/2017|2016|TV-Y7-FV|109 min|Children & Family Movies, Comedies
Movie|Speech & Debate|Dan Harris|Liam James, Sarah Steele, Austin McKenzie, Roger Bart, Janeane Garofalo, Wendi McLendon-Covey, Kal Penn, Kimberly Williams-Paisley, Skylar Astin, Edgar Arreola, Sarah Baker|United States|6/7/2017|2017|PG-13|96 min|Comedies, Dramas, Independent Movies
Movie|Brahman Naman|Qaushiq Mukherjee|Shashank Arora, Tanmay Dhanania, Chaitanya Varad, Vaishwath Shankar, Sindhu Sreenivasa Murthy, Sid Mallya, Denzil Smith|India, United Kingdom|6/7/2016|2016|TV-MA|96 min|Comedies, Independent Movies, International Movies
TV Show|In The Dark||Perry Mattfeld, Brooke Markham, Casey Deidrick, Keston John, Morgan Krantz, Rich Sommer, Thamela Mpumlwana, Saycon Sengbloh, Kathleen York, Derek Webster|United States|5/7/2019|2019|TV-14|1 Season|Crime TV Shows, TV Dramas
Movie|River, el más grande siempre|Marcelo Altmark, Mariano Mucci, Luis A. Scalella||Argentina|5/7/2019|2019|TV-G|105 min|Documentaries, International Movies, Sports Movies
TV Show|The Legend of White Snake||Yu Menglong, Ju Jingyi, Pei Zitian, Xiao Yan, Nie Zihao, Yu Lang||5/7/2019|2019|TV-14|1 Season|International TV Shows, Romantic TV Shows, TV Dramas
Movie|Blue Valentine|Derek Cianfrance|Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Ben Shenkman, Jen Jones, Maryann Plunkett, Marshall Johnson, James Benatti, Barbara Troy, Carey Westbrook, Enid Graham|United States|5/7/2018|2010|R|112 min|Dramas, Independent Movies, Romantic Movies
TV Show|Dharmakshetra||Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai|India|5/7/2018|2014|TV-14|1 Season|International TV Shows, TV Dramas, TV Sci-Fi & Fantasy
